SERIES,LOCATION,FABRICATION,MATERIAL,PACKAGE
01=CLASSIC,1=FRONT,1=W.I.Y.KIT,1=MILD STEEL,1=STANDARD
01=CLASSIC,1=FRONT,1=W.I.Y.KIT,1=MILD STEEL,2=OFFROAD
01=CLASSIC,1=FRONT,2=PREFABRICATED,1=MILD STEEL,1=STANDARD
01=CLASSIC,2=REAR,1=W.I.Y.KIT,1=MILD STEEL,1=STANDARD
01=CLASSIC,3=RUNNING BOARDS,1=W.I.Y.KIT,1=MILD STEEL, 1=STANDARD
02=PRECISION,1=FRONT,1=W.I.Y.KIT,1=MILD STEEL,1=STANDARD
02=PRECISION,2=REAR,1=W.I.Y.KIT,1=MILD STEEL,1=STANDARD
03=EMBARK,1=FRONT,1=W.I.Y.KIT,1=MILD STEEL,1=STANDARD
03=EMBARK,2=REAR,1=W.I.Y.KIT,1=MILD STEEL,1=STANDARD
04=FALCON,1=FRONT,1=W.I.Y.KIT,1=MILD STEEL,1=STANDARD
05=HERITAGE,1=FRONT,1=W.I.Y.KIT,1=MILD STEEL,1=STANDARD
06=APEX,1=FRONT,1=W.I.Y.KIT,1=MILD STEEL,1=STANDARD
07=TRAIL,1=FRONT,1=W.I.Y.KIT,1=MILD STEEL,1=STANDARD
